ZCTA,COUNTY,STATE,COUNTYFP
72650,Searcy County,AR,05129
72651,Baxter County,AR,05005
88263,Eddy County,NM,35015
97834,Baker County,OR,41001
85730,Pima County,AZ,04019
85735,Pima County,AZ,04019
88265,Lea County,NM,35025
92086,San Diego County,CA,06073
81059,Las Animas County,CO,08071
81062,Crowley County,CO,08025
75701,Smith County,TX,48423
97837,Baker County,OR,41001
74023,Payne County,OK,40119
92127,San Diego County,CA,06073
81138,Costilla County,CO,08023
71222,Union Parish,LA,22111
72740,Madison County,AR,05087
71223,Morehouse Parish,LA,22067
72742,Madison County,AR,05087
88416,San Miguel County,NM,35047
88417,Guadalupe County,NM,35019
88418,Union County,NM,35059
72747,Benton County,AR,05007
72749,Washington County,AR,05143
71227,Lincoln Parish,LA,22061
92130,San Diego County,CA,06073
88419,Union County,NM,35059
71229,Morehouse Parish,LA,22067
72751,Benton County,AR,05007
75785,Cherokee County,TX,48073
88103,Curry County,NM,35009
88112,Curry County,NM,35009
72445,Lawrence County,AR,05075
70775,West Feliciana Parish,LA,22125
73834,Harper County,OK,40059
70776,Iberville Parish,LA,22047
88114,Lea County,NM,35025
72447,Craighead County,AR,05031
80926,El Paso County,CO,08041
80927,El Paso County,CO,08041
85634,Pima County,AZ,04019
73944,Texas County,OK,40139
80930,El Paso County,CO,08041
72530,Cleburne County,AR,05023
97739,Deschutes County,OR,41017
88210,Eddy County,NM,35015
71034,Red River Parish,LA,22081
71038,Claiborne Parish,LA,22027
75647,Gregg County,TX,48183
72556,Izard County,AR,05065
80951,El Paso County,CO,08041
80928,El Paso County,CO,08041
92024,San Diego County,CA,06073
85641,Pima County,AZ,04019
92027,San Diego County,CA,06073
92401,San Bernardino County,CA,06071
74535,Coal County,OK,40029
76704,McLennan County,TX,48309
76707,McLennan County,TX,48309
77062,Harris County,TX,48201
75849,Houston County,TX,48225
71272,Lincoln Parish,LA,22061
74546,Pittsburg County,OK,40121
74554,Pittsburg County,OK,40121
76711,McLennan County,TX,48309
93309,Kern County,CA,06029
77071,Harris County,TX,48201
81232,Fremont County,CO,08043
74117,Tulsa County,OK,40143
76148,Tarrant County,TX,48439
76164,Tarrant County,TX,48439
93410,San Luis Obispo County,CA,06079
93433,San Luis Obispo County,CA,06079
77072,Harris County,TX,48201
74119,Tulsa County,OK,40143
74120,Tulsa County,OK,40143
79247,Wilbarger County,TX,48487
79248,Cottle County,TX,48101
79252,Hardeman County,TX,48197
79255,Briscoe County,TX,48045
74761,Choctaw County,OK,40023
76268,Grayson County,TX,48181
76908,Tom Green County,TX,48451
93528,Kern County,CA,06029
93721,Fresno County,CA,06019
81244,Fremont County,CO,08043
74128,Tulsa County,OK,40143
79312,Lamb County,TX,48279
74935,Le Flore County,OK,40079
93530,Inyo County,CA,06027
77005,Harris County,TX,48201
77076,Harris County,TX,48201
74130,Tulsa County,OK,40143
92866,Orange County,CA,06059
77006,Harris County,TX,48201
77008,Harris County,TX,48201
77081,Harris County,TX,48201
74135,Tulsa County,OK,40143
76466,Eastland County,TX,48133
77016,Harris County,TX,48201
77021,Harris County,TX,48201
93921,Monterey County,CA,06053
77085,Harris County,TX,48201
74136,Tulsa County,OK,40143
74146,Tulsa County,OK,40143
93035,Ventura County,CA,06111
77023,Harris County,TX,48201
77087,Harris County,TX,48201
93950,Monterey County,CA,06053
81335,Montezuma County,CO,08083
72945,Sebastian County,AR,05131
76490,Parker County,TX,48367
77025,Harris County,TX,48201
77096,Harris County,TX,48201
77098,Harris County,TX,48201
74359,Delaware County,OK,40041
93067,Santa Barbara County,CA,06083
93202,Kings County,CA,06031
77026,Harris County,TX,48201
77027,Harris County,TX,48201
94102,San Francisco County,CA,06075
94103,San Francisco County,CA,06075
74425,Pittsburg County,OK,40121
93223,Tulare County,CA,06107
77028,Harris County,TX,48201
77030,Harris County,TX,48201
94111,San Francisco County,CA,06075
76021,Tarrant County,TX,48439
76022,Tarrant County,TX,48439
93235,Tulare County,CA,06107
76599,Coryell County,TX,48099
77031,Harris County,TX,48201
92140,San Diego County,CA,06073
92147,San Diego County,CA,06073
76039,Tarrant County,TX,48439
74458,Wagoner County,OK,40145
76623,Ellis County,TX,48139
76643,McLennan County,TX,48309
77033,Harris County,TX,48201
77035,Harris County,TX,48201
92155,,,
74068,Creek County,OK,40037
76054,Tarrant County,TX,48439
74460,Okmulgee County,OK,40111
93258,Tulare County,CA,06107
93261,Tulare County,CA,06107
77036,Harris County,TX,48201
71247,Jackson Parish,LA,22049
81221,Fremont County,CO,08043
76059,Johnson County,TX,48251
74463,Muskogee County,OK,40101
76650,Hill County,TX,48217
77043,Harris County,TX,48201
77050,Harris County,TX,48201
74104,Tulsa County,OK,40143
75848,Freestone County,TX,48161
92377,San Bernardino County,CA,06071
74522,Pittsburg County,OK,40121
93276,Kern County,CA,06029
77051,Harris County,TX,48201
77054,Harris County,TX,48201
86538,Apache County,AZ,04001
74734,McCurtain County,OK,40089
86540,Apache County,AZ,04001
92595,Riverside County,CA,06065
76209,Denton County,TX,48121
74736,McCurtain County,OK,40089
76210,Denton County,TX,48121
92602,Orange County,CA,06059
76225,Wise County,TX,48497
74741,Bryan County,OK,40013
92604,Orange County,CA,06059
92610,Orange County,CA,06059
92612,Orange County,CA,06059
92614,Orange County,CA,06059
92617,Orange County,CA,06059
74743,Choctaw County,OK,40023
76227,Denton County,TX,48121
86556,Apache County,AZ,04001
92624,Orange County,CA,06059
74748,Johnston County,OK,40069
76687,Limestone County,TX,48293
76690,Bosque County,TX,48035
76691,McLennan County,TX,48309
93304,Kern County,CA,06029
76832,San Saba County,TX,48411
93402,San Luis Obispo County,CA,06079
93428,San Luis Obispo County,CA,06079
93441,Santa Barbara County,CA,06083
76861,Runnels County,TX,48399
76866,Concho County,TX,48095
76874,Sutton County,TX,48435
76887,McCulloch County,TX,48307
76901,Tom Green County,TX,48451
93453,San Luis Obispo County,CA,06079
76801,Brown County,TX,48049
76834,Coleman County,TX,48083
93427,Santa Barbara County,CA,06083
76852,McCulloch County,TX,48307
76693,Freestone County,TX,48161
76701,McLennan County,TX,48309
93301,Kern County,CA,06029
94158,San Francisco County,CA,06075
77378,Montgomery County,TX,48339
94306,Santa Clara County,CA,06085
77379,Harris County,TX,48201
77384,Montgomery County,TX,48339
77386,Montgomery County,TX,48339
94501,Alameda County,CA,06001
81522,Mesa County,CO,08077
81524,Mesa County,CO,08077
92305,San Bernardino County,CA,06071
71418,Caldwell Parish,LA,22021
81601,Garfield County,CO,08045
92308,San Bernardino County,CA,06071
71371,LaSalle Parish,LA,22059
71378,Franklin Parish,LA,22041
71416,Natchitoches Parish,LA,22069
71430,Rapides Parish,LA,22079
81435,San Miguel County,CO,08113
86046,Coconino County,AZ,04005
74363,Ottawa County,OK,40115
81504,Mesa County,CO,08077
86303,Yavapai County,AZ,04025
92281,Imperial County,CA,06025
71367,Evangeline Parish,LA,22039
71368,Catahoula Parish,LA,22025
81501,Mesa County,CO,08077
75980,Angelina County,TX,48005
92283,Imperial County,CA,06025
81503,Mesa County,CO,08077
74364,Delaware County,OK,40041
76002,Tarrant County,TX,48439
76006,Tarrant County,TX,48439
74750,McCurtain County,OK,40089
74753,Bryan County,OK,40013
74755,McCurtain County,OK,40089
76230,Montague County,TX,48337
74756,Choctaw County,OK,40023
74760,Pushmataha County,OK,40127
76234,Wise County,TX,48497
76239,Montague County,TX,48337
92629,Orange County,CA,06059
92637,Orange County,CA,06059
74804,Pottawatomie County,OK,40125
76244,Tarrant County,TX,48439
92647,Orange County,CA,06059
76250,Cooke County,TX,48097
92649,Orange County,CA,06059
93305,Kern County,CA,06029
76706,McLennan County,TX,48309
93306,Kern County,CA,06029
76708,McLennan County,TX,48309
76710,McLennan County,TX,48309
93307,Kern County,CA,06029
76798,McLennan County,TX,48309
93308,Kern County,CA,06029
76821,Runnels County,TX,48399
93312,Kern County,CA,06029
93313,Kern County,CA,06029
76825,McCulloch County,TX,48307
76827,Brown County,TX,48049
76836,McCulloch County,TX,48307
76842,Mason County,TX,48319
76845,Coleman County,TX,48083
93422,San Luis Obispo County,CA,06079
76848,Menard County,TX,48327
76849,Kimble County,TX,48267
76853,Lampasas County,TX,48281
93430,San Luis Obispo County,CA,06079
92135,San Diego County,CA,06073
92145,San Diego County,CA,06073
71233,Madison Parish,LA,22065
75791,Smith County,TX,48423
88427,Quay County,NM,35037
81147,Archuleta County,CO,08007
74368,Delaware County,OK,40041
74369,Craig County,OK,40035
81506,Mesa County,CO,08077
74370,Ottawa County,OK,40115
71403,Vernon Parish,LA,22115
81507,Mesa County,CO,08077
71404,Winn Parish,LA,22127
92285,San Bernardino County,CA,06071
86047,Navajo County,AZ,04017
71405,Rapides Parish,LA,22079
71407,Grant Parish,LA,22043
86052,Coconino County,AZ,04005
76010,Tarrant County,TX,48439
81521,Mesa County,CO,08077
71409,Rapides Parish,LA,22079
71410,Winn Parish,LA,22127
71411,Natchitoches Parish,LA,22069
76253,Cooke County,TX,48097
74820,Pontotoc County,OK,40123
74824,Lincoln County,OK,40081
76255,Montague County,TX,48337
